Proposition,Nom d&apos;auteur,Âge,Département,Nb de votes,% pour,% contre,% neutre,theme,cluster_id
Il faut verdir et fleurir nos trottoirs,Frédéric,,,292,0.769,0.059,0.172,Urban Planning and Green Spaces,16
Il faut interdire la consanguinité dans les élevages car cela fragilise les animaux face à des épidémies.,Jean,40.0,75.0,295,0.7,0.082,0.217,Animal Welfare,0
Il faut éduquer les élus et les citoyens au maintien des trames vertes et bleues qui préservent la continuité biologique,Serge,72.0,,294,0.72,0.079,0.201,Citizen Engagement and Education,3
Il faut interdire la chasse à courre.,Rodolphe,44.0,60.0,296,0.704,0.193,0.102,Animal Welfare,0
"Il faut respecter les sentiers de randonnée, ne pas marcher à côté, ne pas cueillir de fleurs, ni casser de branches d&apos;arbres .",Dominique,73.0,,296,0.807,0.109,0.084,Urban Planning and Green Spaces,16
"Il faut cesser de chasser les espèces migratrices, elles sont réintroduites partout ailleurs en Europe et exterminées en France.",Michel,53.0,39.0,330,0.696,0.222,0.082,Conservation of Biodiversity,5
"Il faut retrouver l&apos;équilibre d&apos;autant, les talus, les bouteilles de verre consignés et surtout manger local et taxer les autres.",Katha Strophe,19.0,,294,0.712,0.069,0.219,Environmental Protection,8
Il faut créer une obligation de construire immeubles à X mètres de la rue (minimum 15mètres?) pour planter des arbres et de la végétation.,Sophie,64.0,,294,0.682,0.106,0.212,Urban Planning and Green Spaces,16
"Il faut changer de regard sur la nature, nous en faisons partie, elle n’est pas au service exclusif de l’homme.",Blandine,47.0,5.0,296,0.803,0.099,0.099,Environmental Protection,8
"Il faut éduquer sur les plantes. pPlus on connaît la nature plus on l&apos;aime. Plus de mauvaises herbes, mais des pissenlits, laiterons, berces",Coralie,33.0,,294,0.763,0.069,0.168,Environmental Protection,8
"Il faut instaurer, avant le fauchage des bords de route et espaces verts des villes et villages, une ""récolte"" de tous les déchets.",Fabienne,53.0,22.0,293,0.715,0.049,0.236,Waste Reduction and Recycling,18
"Il faut faciliter le ramassage des déchets verts, notamment les branchages quand les déchetterie sont trop éloignées des villages .",Martine,78.0,33.0,299,0.699,0.114,0.186,Waste Reduction and Recycling,18
"Il faut instaurer une prime conséquente à la biodiversité dans la PAC, basée sur des engagements à long terme et sur la diversité d&apos;habitats",Emilien,42.0,,268,0.718,0.124,0.158,Conservation of Biodiversity,5
Il faut réduire la consommation de viande.,Nicolas,30.0,,292,0.705,0.158,0.137,Animal Welfare,0
Il faut apprendre aux gens la fragilité de l&apos;équilibre des écosystèmes et le nécessaire respect de chaque être vivant.,Lilie,,,300,0.806,0.081,0.113,Conservation of Biodiversity,5
Il faut trouver de vrais compromis au débroussaillage destructeur des zones à risque incendie.,Anne-lise,,,479,0.736,0.119,0.145,Biomass and Forest Management,2
Il faut encourager la consommation responsable et durable en subventionnant les entreprises engagées sur cette voie.,Willy,37.0,,314,0.751,0.105,0.144,Renewable Energy and Sustainable Development,13
"Il faut remettre en cause individuellement notre mode de vie : nourriture, confort, loisirs, déplacements...",PALMAR,42.0,13.0,295,0.739,0.133,0.128,Citizen Engagement and Education,3
Il faut lutter à grande échelle contre le frelon asiatique,Frédéric,,,293,0.709,0.073,0.219,Insect Protection,10
Il faut diminuer voir arrêter le tourisme dans les zones naturelles protégées et sanctionner les pollueurs,E,27.0,,295,0.741,0.153,0.106,Ecotourism and Responsible Travel,7
Il faut une taxe non négligeable sur les matières plastiques,Marie,31.0,,292,0.687,0.165,0.148,Waste Reduction and Recycling,18
"Il faut interdire le plomb de chasse partout, pas seulement en zone humide.",Juliette,58.0,,230,0.712,0.122,0.166,Animal Welfare,0
"Il faut obliger, pour toute nouvelle construction, le recyclage des eaux grises, ou le raccordement des WC au réseau d&apos;eau brute.",Sandrine,43.0,34.0,283,0.716,0.079,0.205,Water Conservation,19
Il faut autoriser toutes les plantations possibles localement afin d&apos;éviter les import / export (ex : fraises DROM plutôt qu&apos;hexagonales).,Joelle,,,294,0.714,0.055,0.23,Biomass and Forest Management,2
"Il faut consommer que ce qu&apos;on est capable de produire, réparer, entretenir, etc.",Gérald,75.0,,297,0.78,0.062,0.159,Sustainable Agriculture,14
Il faut développer l&apos;hydrologie régénérative et l&apos;agriculture syntropique pour régénérer le vivant par les pratiques agricoles!,Annaïg,35.0,14.0,292,0.627,0.028,0.344,Environmental Protection,8
Il faut arrêter de confondre insectes et saleté,PALMAR,42.0,13.0,294,0.732,0.077,0.191,Insect Protection,10
Il faut réorganiser les services vétérinaires d’Etat pour qu’ils soient enfin efficaces sur la protection animale et de la biodiversité.,Cathy,56.0,6.0,250,0.672,0.065,0.263,Animal Welfare,0
"Il faut interdire les coupes rases dans les forêts, et prélever uniquement un quota d’arbres sur une parcelle",Alban,33.0,69.0,296,0.718,0.171,0.111,Biomass and Forest Management,2
Il faut interdire la chasse aux trophées et interdire leur importation ou exportation espèces menacées danger,christine,62.0,,308,0.714,0.236,0.05,Animal Welfare,0
"Il faut une politique de transports en commun incitative et non punitive, de la location de voiture et de vélos partout.",Blandine,47.0,5.0,296,0.742,0.092,0.166,Sustainable Transportation,15
Il faut cesser la chasse/exploitation forestière dans nos parcs nationaux/régionaux et y développer l&apos;écotourisme comme dans les Abruzzes.,Michel,53.0,39.0,311,0.696,0.184,0.12,Environmental Protection,8
"Il faut que les communes informent et facilitent la mise en place d&apos;accueil de la biodiversité : nichoir, tas de bois, mois sans tontes, etc",Holivier,,,261,0.751,0.129,0.12,Conservation of Biodiversity,5
"Il faut faire une grande campagne de stérilisation des chats pour limiter leur impact sur la biodiversité (rongeurs, reptiles, oiseaux)",Nicolas,39.0,,262,0.732,0.115,0.153,Animal Welfare,0
Il faut replanter les espaces en gazon avec des arbres qui ne nécessitent pas de tonte et peu d&apos;entretien donc moins d&apos;émissions de CO2,Emilie,53.0,21.0,294,0.713,0.086,0.201,Environmental Protection,8
Il faut contraindre les entreprises du voyage à proposer des solutions plus écologiques.,Morgane,32.0,63.0,296,0.713,0.124,0.163,Ecotourism and Responsible Travel,7
"Il faut encourager les pratiques agricoles écologiques : Soutenir l&apos;agriculture biologique, la permaculture et l&apos;agroforesterie.",Blandine,47.0,,304,0.773,0.173,0.054,Sustainable Agriculture,14
Il faut que chaque commune ait des ruches pour accueillir les abeilles (pas nécessairement faire du miel à consommer),Elsa,46.0,,294,0.705,0.138,0.157,Insect Protection,10
Il faut limiter la prolifération des chats grands destructeurs de la biodiversité !,theobald,69.0,,271,0.689,0.168,0.143,Environmental Protection,8
Il faut réinterroger la philosophie de notre relation aux êtres vivants,Marie-josé,62.0,,294,0.696,0.089,0.215,Environmental Protection,8
Il faut que les mairies ne coupent plus d&apos;arbres sous prétexte de rénover des places publiques ou de faire des pistes cyclables !,Martine,72.0,17.0,292,0.699,0.114,0.187,Biomass and Forest Management,2
Il faut réduire la population de chats avec un programme de stérilisation/ contrainte des propriétaires.,Martial,50.0,78.0,298,0.678,0.142,0.18,Animal Welfare,0
"Il faut mettre fin à TOUTE activité basée sur le profit et nuisible à la vie animale : STOP aux fermes à 1.000 vaches, à toute ""batterie"".",Geneviève,77.0,81.0,294,0.725,0.179,0.096,Environmental Protection,8
Il faut davantage d’études scientifiques indépendantes (non financées par des intérêts mercantiles) et de médias responsables qui relaient.,Cécile,44.0,,292,0.701,0.073,0.226,Citizen Engagement and Education,3
"Il faut encourager les achats ""seconde main"", diminuer les prix dans les ressourceries, creer des espaces de dépôts où tout est gratuit",Valérie,62.0,1.0,294,0.725,0.096,0.179,Waste Reduction and Recycling,18
"Il faut donner les moyens aux citoyen.ne.s de connaître et se connecter à la nature, pour leur donner envie de la protéger",Noé,,,338,0.771,0.093,0.136,Citizen Engagement and Education,3
Il faut imposer une redistribution des grandes surfaces alimentaires pour éviter le gaspillage alimentaire,Laura,,,292,0.694,0.097,0.209,Sustainable Agriculture,14
Il faut mettre en place les propositions de la consultation citoyenne sur le climat.,Pauline,33.0,,294,0.693,0.13,0.177,Climate Change Mitigation,4
Il faut une obligation de planter des arbres pour chaque construction.,lafitte,,,292,0.74,0.129,0.131,Biomass and Forest Management,2
"Il faut mieux aider, mieux promouvoir l&apos;implantation de panneaux solaires sur les toits des habitations sur notre territoire.",Claude,73.0,85.0,295,0.697,0.097,0.206,Renewable Energy and Sustainable Development,13
Il faut en finir avec l&apos;agrobusiness et le surproductivisme agricole qui pousse à tous les excès.,Michel,53.0,39.0,316,0.725,0.171,0.104,Sustainable Agriculture,14
Il faut ajouter aux programmes scolaires une nouvelle matière : l&apos;écologie,Anne,59.0,51.0,294,0.71,0.154,0.137,Citizen Engagement and Education,3
"Il faut instaurer une taxe sur les produits alimentaires importés, qui servira intégralement à planter espace arboré avec espèces régionales",Jean.baptiste,61.0,,296,0.722,0.131,0.147,Biomass and Forest Management,2
Il faut faire un Etat des lieux de la faune et de la flore par commune pour y créer des corridors biologiques (ex: coulée verte à Paris),H,43.0,,296,0.726,0.146,0.128,Biodiversity and Ecological Corridors,1
"Il faut punir sévèrement les chefs des entreprises qui polluent, sur leurs deniers personnels",Isabelle,,,294,0.707,0.128,0.164,Environmental Protection,8
Il faut développer massivement le principe de sécurité sociale de l&apos;alimentation et promouvoir des producteurs français bio et de saison,Maxime,,,294,0.739,0.118,0.143,Sustainable Agriculture,14
"Il faut développer l’offre media éveillant à la biodiversité (dessins animés, etc…)",Frédéric,56.0,,244,0.697,0.11,0.193,Conservation of Biodiversity,5
"Il faut reprendre pour soi la maxime de Leo Tolstoï: &apos;Tout le monde pense à changer le monde, mais personne ne pense à se changer lui-même&apos;",Mr Clare&apos;s poetry club for the lonely souls,51.0,,294,0.704,0.028,0.268,Citizen Engagement and Education,3
Il faut mettre des moyens humains et financiers pour assurer le bon fonctionnement des systèmes d&apos;assainissement collectifs et individuels,Romy,,,293,0.732,0.076,0.192,Waste Reduction and Recycling,18
"Il faut expliquer, discuter, partager, essaimer nos idées, expériences, convictions, et surtout agir ""écologiquement"" dans notre quotidien.",Isabelle,54.0,,294,0.788,0.076,0.136,Environmental Protection,8
"Il faut supprimer les munitions au plomb pour la chasse, très polluantes",Juliette,58.0,,241,0.714,0.119,0.167,Conservation of Biodiversity,5
Il faut faire respecter la loi. Tous ceux qui détruisent les nids d&apos;hirondelles ou les empêchent de s&apos;installer devraient avoir une amende,Catherine,,,295,0.754,0.082,0.163,Insect Protection,10
"Il faut un maximum de jardins ""à l&apos;anglaise"", où les plantes et la pelouse se développent en liberté.",Robert,77.0,75.0,295,0.724,0.102,0.173,Environmental Protection,8
"Il faut que les gens se responsabilisent individuellement. Avec 8 milliards d&apos;individus, aucune action n&apos;est insignifiante.",Edwige,23.0,62.0,297,0.773,0.072,0.155,Citizen Engagement and Education,3
Il faut réhabiliter le rôle écologique du renard et le sortir de la liste des nuisibles.,AVES France,,,447,0.703,0.231,0.066,Environmental Protection,8
Il faut communiquer en direction des espaces verts des collectivités territoriales pour qu&apos;ils laissent des herbes hautes jusqu&apos;à l&apos;été.,Karine,55.0,77.0,293,0.741,0.149,0.11,Urban Planning and Green Spaces,16
"Il faut inciter et encourager une reconnexion au vivant, à son environnement, pour mieux le protéger.",Gaspard,,,294,0.741,0.062,0.196,Environmental Protection,8
"Il faut interdire les lobbies à l&apos;UE: ils poussent les politiciens à détricoter les lois, à l&apos;image de ce qu&apos;il se passe avec le pacte vert.",Valer,34.0,,296,0.669,0.127,0.203,Environmental Protection,8
Il faut généraliser l&apos;interdiction à la campagne de l&apos;éclairage public nocturne.,Dany,,,625,0.724,0.134,0.142,Urban Planning and Green Spaces,16
"Il faut créer une véritable protection des aires Natura 2000, interdire la pêche dans ces ecosystèmes fragiles",Charlotte,33.0,,294,0.721,0.179,0.099,Biomass and Forest Management,2
Il faut obliger les paysagiste à utiliser des espèces locales.,Lucie,42.0,41.0,297,0.677,0.124,0.199,Biomass and Forest Management,2
Il faut encourager l&apos;utilisation de biopesticides et de techniques régulants les ravageurs (IPM) pour réduire les produits chimiques.,Erika,49.0,,296,0.731,0.102,0.166,Pesticide Reduction,11
"Il faut limiter les fauches de bord de route, chemins de campagne, au stricte nécessaire",Pierre,,,296,0.735,0.193,0.072,Biomass and Forest Management,2
Il faut que les maires puissent interdire des zones spécifiques pour protéger la biodiversité (pas de pêcheurs vers les nids de guêpiers),Jacques,,,243,0.723,0.108,0.169,Conservation of Biodiversity,5
"Il faut favoriser la nature en ville en végétalisant chaque espace qui peut l&apos;être, et densifier les habitations pour libérer de la surface",Corentin,20.0,,293,0.732,0.103,0.164,Urban Planning and Green Spaces,16
Il faut que chaque classe verte ait comme objectif de participer à la restauration de la biodiversité.,Christophe,30.0,75.0,265,0.731,0.092,0.178,Conservation of Biodiversity,5
Il faut augmenter les subventions agricoles au profit des petites exploitations de culture biologiques et durables.,Cathy,59.0,,328,0.721,0.131,0.147,Sustainable Agriculture,14
Il faut imposer aux communes et interco d&apos;implanter plus d&apos;arbres fruitiers et d&apos;espaces potagers à la place des plantes d&apos;ornement.,Bob,37.0,64.0,295,0.694,0.096,0.211,Biomass and Forest Management,2
Il faut faire évoluer le contenu des programmes de manière transversale en intégrant les enjeux de la biodiversité,Adrien,21.0,,244,0.701,0.065,0.234,Conservation of Biodiversity,5
"Il faut planter des haies dans les jardins privés en ville et des plantes sur les balcons, la biodiversité existe en ville aussi",bibi,50.0,,268,0.755,0.102,0.143,Conservation of Biodiversity,5
Il faut mettre en place une loi qui interdit aux mairies et citoyens d&apos;abattre les arbres qui ont plus de 10 ans sans une raison vitale.,Marie-Françoise,52.0,69.0,293,0.698,0.198,0.103,Biomass and Forest Management,2
"Il faut revoir les PLU, autoriser les toitures, les murs et les huisseries claires pour limiter l’impact du réchauffement climatique",Vincent,51.0,,294,0.658,0.076,0.266,Urban Planning and Green Spaces,16
Il faut réintroduire la notion de terroir et de flore locale dans le cahier des charges de l’app Roquefort. Non à la destruction de prairies,Jean Marc,70.0,38.0,292,0.694,0.059,0.247,Biomass and Forest Management,2
"Il faut sur tous les ronds points : 1 arbre mini, 1 prairie fleurie et pour tous les bords de route 1 bande tondue, 1 bande fauchage tardif",Valérie,59.0,21.0,292,0.725,0.086,0.189,Environmental Protection,8
Il faut expliquer aux disciples de la croissance qu&apos;un désert comme le Sahara est un écosystème naturel au même titre que la forêt Amazonie,Jacques,,,292,0.706,0.042,0.252,Conservation of Biodiversity,5
Il faut planter des arbres à fruits dans les villes.,Lau,,,297,0.709,0.102,0.189,Urban Planning and Green Spaces,16
Il faut développer des outils de formation simples et accessibles à tous pour comprendre les enjeux et reconnaître les vraies solutions,Valérie,57.0,,298,0.752,0.048,0.2,Citizen Engagement and Education,3
Il faut consommer local et arrêter d&apos;acheter sur internet pour favoriser l&apos;économie locale (pas de transport),philippe,61.0,,294,0.738,0.12,0.142,Waste Reduction and Recycling,18
Il faut accroître les subventions publiques et privées pour les initiatives de protection et de restauration de la biodiversité,Zelia,25.0,,264,0.739,0.137,0.124,Conservation of Biodiversity,5
Il faut planifier a l’échelle locale en se donnant des objectifs clairs. Laisser les acteurs locaux répondre démocratiquement.,Theo,34.0,,298,0.658,0.061,0.28,Citizen Engagement and Education,3
Il faut que les communes définissent des zones de biodiversité protégées à hauteur de 10% sur leurs terrains ou en aidant les privés.,Gil,64.0,,262,0.723,0.1,0.177,Biomass and Forest Management,2
Il faut que l&apos;urbanisme et les législateurs cessent de détourner le regard lorsque des arbres vont être coupés pour faire des constructions.,Valérie,52.0,64.0,294,0.716,0.127,0.157,Urban Planning and Green Spaces,16
Il faut sensibiliser les jeunes générations à l&apos;impact de l&apos;homme sur la nature en proposant des classes vertes dans des zones protégées,Maxime,,,294,0.781,0.13,0.089,Citizen Engagement and Education,3
"Il faut taxer les entreprises ayant une grosse consommation de bande passante sur internet(fournisseurs de vidéos, de cloud)très énergivores",Eric,54.0,33.0,292,0.688,0.09,0.223,Climate Change Mitigation,4
"Il faut être plus attentif aux déchets : plutôt qu&apos;une ville fleurie qui les cache, une ville propre où chacun participe serait préférable.",Isabelle,63.0,,292,0.731,0.042,0.226,Waste Reduction and Recycling,18
Il faut obliger les promoteurs et architectes à intégrer des toits végétalisés ou davantage de végétation dans la conception des bâtiments.,Mélanie,44.0,31.0,296,0.717,0.119,0.164,Urban Planning and Green Spaces,16
"Il faut que tous les ""décideurs"" : les politiques et les ""puissants"" soient contraints d&apos;appliquer les mesures de protection qui s&apos;imposent",Stéphane,57.0,,295,0.768,0.082,0.15,Citizen Engagement and Education,3
"Il faut s’émerveiller devant la nature sauvage (grandeur, beauté, complexité..) et rendre sa préservation désirable.",Juliette,58.0,,230,0.758,0.058,0.184,Environmental Protection,8
"Il faut s’assurer qu’aucun hérisson ne dort sous le tas de feuilles, de branches avant de le brûler.",Juliette,58.0,,232,0.757,0.092,0.152,Biomass and Forest Management,2
Il faut trouver une solution aux éoliennes tant pour les oiseaux que les autres espèces impactées,Emm,55.0,,294,0.697,0.099,0.204,Conservation of Biodiversity,5
"Il faut qu&apos;on aide les pays émergents comme l&apos;indonésie, l&apos;asie, à traiter leurs déchets plastiques dont une partie provient de chez nous",chantal,72.0,35.0,292,0.735,0.104,0.162,Environmental Protection,8
Il faut revoir le statut du fermage qui permet aux société de se transmettre les droits de bail en créant des megas fermes  intensives.,Remy Hamant,76.0,57.0,292,0.688,0.127,0.185,Sustainable Agriculture,14
"Il faut sensibiliser les gens à la protection des petits félins (serval, caracal, etc) moins connus que les grands félins mais aussi menacés",Edwige,23.0,62.0,298,0.708,0.118,0.173,Animal Welfare,0
Il faut replanter des coraux,Edwige,23.0,62.0,299,0.704,0.044,0.251,Conservation of Biodiversity,5
Il faut demander aux mairies de donner à ses habitants un formulaire expliquant comment piéger les frelons asiatiques à la bonne saison.,Dominique,47.0,65.0,295,0.663,0.086,0.251,Insect Protection,10
Il faut lors des bulletins météo parler aussi de la pollution de l&apos;air,Monic,,,293,0.731,0.083,0.186,Environmental Protection,8
"Il faut une campagne de sensibilisation routière ambitieuse entre prévention (tracts, réunions…) et répression (contrôles de vitesse...).",Le Pôle Grands Prédateurs,,,906,0.659,0.171,0.17,Citizen Engagement and Education,3
Il faut interdire toutes chasses à courre !,Valérie,58.0,60.0,310,0.669,0.239,0.091,Animal Welfare,0
Il faut un vrai plan a grandes échelles pour la rénovations des bâtiments publics.,Laetitia,36.0,,296,0.698,0.079,0.224,Urban Planning and Green Spaces,16
Il faut interdire aux chasseurs d&apos;aller dans les écoles faire de la propagande auprès des enfants et sans l&apos;accord des parents.,Déborah,,,306,0.692,0.227,0.081,Citizen Engagement and Education,3
Il faut Financer des projets éco-concitoyens. Les encourager à devenir acteur de leurs communes.,Gwenaëlle,22.0,,292,0.701,0.117,0.182,Citizen Engagement and Education,3
Il faut employer plus de gardes forestiers afin de réduire le braconnage.,Céline,53.0,,298,0.72,0.118,0.162,Biomass and Forest Management,2
Il faut laisser l&apos;herbe pousser dans les jardins et parcs publics sans tondre trop tôt ou trop souvent la pelouse,Estelle,56.0,75.0,295,0.748,0.14,0.113,Urban Planning and Green Spaces,16
Il faut que l&apos;Etat Français soit un moteur et non un frein de la politique de préservation de la biodiversité menée par l&apos;Union européenne,Benoît,,,263,0.757,0.098,0.145,Conservation of Biodiversity,5
Il faut inciter et augmenter les campagnes de publicité concernant les organismes proposant des produits locaux consignés.,Rose,,,292,0.728,0.059,0.213,Environmental Protection,8
Il faut limiter dans les étales les fruits et légumes conçus et brevetés par des industries,Jean,40.0,75.0,298,0.668,0.137,0.195,Sustainable Agriculture,14
Il faut élire des politiques moins affairistes et plus soucieuses du bien-être commun.,Michel,53.0,39.0,316,0.757,0.077,0.166,Citizen Engagement and Education,3
"Il faut créer des salles de classe en plein air avec des bancs, des abris, des zones d&apos;observations et du matériel (loupe, jumelle, rateaux)",Emilie,44.0,78.0,297,0.692,0.117,0.191,Urban Planning and Green Spaces,16
"Il faut interdire la chasse au moins les jours où les non chasseurs se promènent: WE, mercredis, vac. scolaires. Et aux mêmes dates partout.",Sophie,64.0,,293,0.719,0.185,0.096,Animal Welfare,0
Il faut imposer le suivi d&apos;un jardin potager ou d&apos;une jardinière horticole par classe sur une année scolaire dans tous les établissements.,Marie-Claire,56.0,972.0,294,0.685,0.137,0.178,Citizen Engagement and Education,3
Il faut sanctionner beaucoup plus lourdement la chasse et la consommation de viande de hérisson. Et informer les gens concernés.,Eric,54.0,33.0,292,0.667,0.134,0.199,Animal Welfare,0
Il faut que chacun prenne conscience de son impact personnel et individuel sur le Monde dans le but de le diminuer par des gestes quotidiens,Antony,43.0,,294,0.802,0.052,0.145,Citizen Engagement and Education,3
Il faut recalculer le bilan carbone d’un élevage bovin français en intégrant le bénéfice du pâturage extensif avant sa disparition,Vincent,43.0,76.0,294,0.647,0.059,0.294,Sustainable Agriculture,14
Il faut taxer l&apos;utilisation du kérosène et utiliser l&apos;argent pour financer un fond pour l&apos;écologie et la biodiversité,Max,,,263,0.706,0.13,0.164,Renewable Energy and Sustainable Development,13
Il faut des solutions durables plutôt qu&apos;économiques et valoriser les acteurs qui sont déjà dans l&apos;action. Cconsolidons ce qui est existe,Lucie,32.0,,293,0.688,0.049,0.263,Citizen Engagement and Education,3
Il faut rendre obligatoire une activité liée à la biodiversité dès la maternelle,Marine,32.0,,244,0.708,0.107,0.185,Conservation of Biodiversity,5
"Il faut créer des aires protégées : établir et maintenir des parcs nationaux, réserves naturelles, et autres zones protégées .",kaddar,62.0,,297,0.736,0.149,0.115,Protected Areas and Nature Reserves,12
"Il faut que chaque département/commune crée une réserve naturelle sur une partie des terres dont elle est propriétaire(forêt, zone humide..)",Christophe,56.0,8.0,302,0.708,0.183,0.109,Protected Areas and Nature Reserves,12
Il faut une règle de conservation de la pleine terre en ville de minimum 30% par parcelle,David,28.0,,294,0.676,0.077,0.246,Urban Planning and Green Spaces,16
Il faut supprimer de la grande distribution les produits nocifs pour la flore et la faune.,Bernard,70.0,75.0,294,0.739,0.158,0.103,Environmental Protection,8
"Il faut indiquer sur les bouches d&apos;égout ""ici commence la mer"" : trop de déchets et de mégot jeté dans les bouches d&apos;égout",Jennifer,,,300,0.72,0.086,0.194,Waste Reduction and Recycling,18
"Il faut communiquer auprès des populations sur les conséquences de nos modes de consommations. Et ce, afin de faire prendre conscience.",VINCENT,124.0,,294,0.755,0.11,0.135,Citizen Engagement and Education,3
Il faut contrôler et sanctionner les agriculteurs qui cultivent leurs champs sans rien récolter et les détruisent aux désherbant,philippe,79.0,,292,0.683,0.111,0.206,Sustainable Agriculture,14
Il faut réinstaurer les aides spécifiques à la conversion et à l&apos;installation en agriculture biologique !,Marie-Claire,56.0,972.0,294,0.715,0.138,0.147,Sustainable Agriculture,14
Il faut que l&apos;argent des gros pollueurs/industries servent aux associations qui améliorent et respectent le vivant et la biodiversité.,Blandine,30.0,,263,0.725,0.149,0.126,Conservation of Biodiversity,5
"Il faut créer, pour les communes une obligation de X% m² d&apos;espaces verts de 600m² minimum chacun donc différents des arbres bordant les rues",Sophie,64.0,,292,0.659,0.097,0.245,Urban Planning and Green Spaces,16
Il faut interdire les coupes rases dans les forêts et arrêter de planter des pins douglas qui n&apos;ont pas d&apos;intérêt pour la biodiversité.,Ondine,68.0,,272,0.681,0.144,0.175,Biomass and Forest Management,2
"Il faut renoncer aux éoliennes offshore bétonnées aux fonds marins qu’elles détruisent et préférer éoliennes flottantes, énergie des vagues.",Jean Marc,70.0,38.0,294,0.669,0.069,0.262,Sustainable Transportation,15
Il faut faire des jardins privatifs des aires de biodiversité : interdire le bétonnage et le goudronnage au profit de revêtements naturels.,Yves,,,264,0.716,0.135,0.148,Protected Areas and Nature Reserves,12
Il faut interdire les pesticides et les engrais de synthèse.,Ju,42.0,,302,0.722,0.186,0.092,Pesticide Reduction,11
"Il faut construire des habitations humaines végétalisées qui intègrent des abris pour la petite faune : insectes, oiseaux, reptiles",Isa,56.0,14.0,296,0.686,0.146,0.168,Environmental Protection,8
Il faut limiter la taille des exploitations agricoles !,Estelle,52.0,,304,0.676,0.162,0.162,Sustainable Agriculture,14
Il faut une visite médicale obligatoire pour tous les chasseurs de plus de 70 ans.,JM,63.0,,294,0.725,0.118,0.157,Animal Welfare,0
Il faut être plus ferme sur les sanctions concernant le nourrissage des animaux sauvages par les chasseurs.,Jean-Pierre,64.0,6.0,294,0.7,0.123,0.177,Animal Welfare,0
Il faut interdire la construction de bâtiments dans les habitats d&apos;espèces en voie de disparition,Kimberly,22.0,,308,0.746,0.102,0.152,Conservation of Biodiversity,5
"Il faut un moratoire sur les nouveaux projets routiers, nous avons déjà bien assez de routes",Corentin,20.0,,295,0.717,0.136,0.146,Environmental Protection,8
Il faut verser les aides PAC uniquement aux agriculteurs bio pour qu’ils soient moins cher et arrêter de sponsoriser l’usage de pesticide,Cassandre,32.0,49.0,292,0.666,0.196,0.138,Sustainable Agriculture,14
"Il faut un site internet national sur la biodiversité, la nature et l&apos;environnement en France où répertorier les connaissances, observations",Céline,29.0,69.0,242,0.685,0.047,0.268,Environmental Protection,8
Il faut imposer aux Etats des solutions globales de préservation de la biodiversité en créant un quota de zones protégées par pays,Guillaume,31.0,75.0,261,0.719,0.173,0.108,Protected Areas and Nature Reserves,12
Il faut laisser vieillir les forêts,Yann,,,295,0.726,0.155,0.119,Biomass and Forest Management,2
Il faut arrêter de tondre presque quotidiennement afin de respecter la biodiversité,Catherine,54.0,47.0,242,0.78,0.112,0.108,Biomass and Forest Management,2
Il faut arrêter de confondre eau potable et ressources en eau globales,Brigitte,73.0,,286,0.704,0.022,0.274,Water Conservation,19
"Il faut que chacun pense à son rapport individuel à cette ""Nature"" dont on fait partie (éducation) pour en devenir de vrais ambassadeurs",Laura,40.0,,292,0.752,0.066,0.182,Citizen Engagement and Education,3
Il faut boiser les sols pollués pour immobiliser les métaux lourds dans le bois,Benjamin,,,294,0.654,0.065,0.28,Biomass and Forest Management,2
Il faut introduire un indice de score “biodiversité” à l’achat (impact sur la biodiversité),Florian,30.0,,244,0.68,0.097,0.222,Conservation of Biodiversity,5
"Il faut laisser pousser la végétation partout où elle ne gêne pas (bords de routes, rond-points, etc.)",Francis,63.0,,294,0.743,0.164,0.093,Biomass and Forest Management,2
Il faut interdir les baignades à certains endroits pour éviter de détruire la biodiversité marine,Sarah,,,265,0.682,0.14,0.178,Conservation of Biodiversity,5
Il faut limiter ou adapter les verrières des immeubles pour protéger les oiseaux et limiter les reflets et la chaleur en été.,bibi,50.0,,294,0.71,0.069,0.221,Animal Welfare,0
Il faut tout d&apos;abord sauvegarder la biodiversité existante par un engagement local et ensuite communautariser cette restauration,FORED,24.0,,260,0.734,0.062,0.204,Citizen Engagement and Education,3
"Il faut pénaliser les pollueurs, les mauvias élèves et récompenser les protecteurs, les bons élèves.",Delphine,51.0,6.0,292,0.73,0.091,0.178,Environmental Protection,8
"Il faut cesser de rendre la vie des limicoles difficile (détruire leur habitat, les chasser…).",Lucas,13.0,77.0,294,0.706,0.147,0.147,Insect Protection,10
"Il faut renforcer la communication sur les solutions déjà connues (mobilité douce, réduire les tontes)",Nathalie,53.0,,296,0.769,0.082,0.149,Environmental Protection,8
Il faut une aide nationale à la végétalisation des rues/façades et militer auprès des Bâtiments de France pour lever certaines restrictions,Clémence,31.0,,294,0.703,0.096,0.201,Urban Planning and Green Spaces,16
Il faut sanctionner la non-stérilisation des chats domestiques et financer de vastes campagnes de stérilisation des chats abandonnés,Thomas,32.0,,303,0.695,0.149,0.156,Animal Welfare,0
Il faut obliger les sports trop polluants ou nocifs pour l&apos;environnement a être éco responsables et les pénaliser s&apos;ils ne le sont pas,Emm,55.0,,294,0.72,0.15,0.13,Citizen Engagement and Education,3
Il faut inciter les agriculteurs à faire de la production locale et non intensive.,Guillaume,35.0,,298,0.741,0.152,0.107,Sustainable Agriculture,14
